 id |            name             |                       description                        | space_id |         created_at         |         updated_at         
----+-----------------------------+----------------------------------------------------------+----------+----------------------------+----------------------------
 20 | Wrench                      | A useful tool                                            |        3 | 2024-12-05 13:43:28.497016 | 2024-12-05 13:43:28.497016
 24 | Building Blocks Toy         | Wooden building blocks                                   |       38 | 2024-12-06 07:08:45.727053 | 2024-12-06 07:54:59.173341
  5 | Laptop                      | Work laptop                                              |       38 | 2024-12-05 13:36:18.601317 | 2024-12-06 21:02:24.638781
 23 | Elmo                        | Addie's Elmo                                             |       41 | 2024-12-05 14:14:30.197067 | 2024-12-06 21:02:30.74123
  9 | Welding Supplies            | Lots of welding stuff                                    |       30 | 2024-12-05 13:36:18.601317 | 2024-12-06 21:03:07.47109
  4 | Books                       | Stack of novels                                          |        1 | 2024-12-05 13:36:18.601317 | 2024-12-06 21:03:25.143517
 25 | Blankie                     | An Elmo blanket                                          |        1 | 2024-12-06 08:06:41.435445 | 2024-12-06 22:23:52.301925
 26 | Beer Goggles                | Some beer goggles                                        |       44 | 2024-12-06 22:25:36.640806 | 2024-12-06 22:26:39.781496
 43 | Big Scooter                 |                                                          |       58 | 2024-12-11 23:13:02.611593 | 2024-12-11 23:31:35.444195
 28 | Test 2                      | Test 2                                                   |        1 | 2024-12-06 22:43:55.480876 | 2024-12-08 02:23:39.11493
 29 | Test 3                      | Test 3                                                   |        1 | 2024-12-06 22:44:01.337772 | 2024-12-08 02:24:54.749702
 30 | Test 4                      | Test 4                                                   |        1 | 2024-12-06 22:44:08.394879 | 2024-12-08 02:25:01.415167
 31 | Test Item 1                 | This is a test                                           |        1 | 2024-12-07 07:57:21.734624 | 2024-12-08 02:25:06.138478
 32 | Soldering Tool              | With flashlight and magnifying glass                     |        1 | 2024-12-08 00:56:29.247766 | 2024-12-08 02:25:08.17496
  2 | Drill                       | Cordless drill                                           |        1 | 2024-12-05 13:36:18.601317 | 2024-12-08 02:25:32.319701
 42 | Small Razor Scooter         |                                                          |       58 | 2024-12-11 23:12:51.730223 | 2024-12-11 23:31:45.896413
 33 | BIG TEST 1                  |                                                          |        1 | 2024-12-08 02:26:07.908033 | 2024-12-08 02:26:12.737061
  3 | Sweater                     | Winter sweater                                           |        1 | 2024-12-05 13:36:18.601317 | 2024-12-08 02:26:29.082687
 34 | BIG TEST 2                  | Big test 2 description                                   |       45 | 2024-12-08 02:45:57.819366 | 2024-12-08 02:46:03.953523
 35 | Label Maker                 | Labelyze label maker for qr codes                        |       45 | 2024-12-08 20:16:27.18888  | 2024-12-08 20:54:13.341103
 36 | Bluetooth Speaker           | Big one                                                  |       50 | 2024-12-08 20:57:42.269705 | 2024-12-08 20:58:10.036774
 38 | Rockville Bluetooth Speaker | Big one                                                  |       37 | 2024-12-08 21:00:51.01966  | 2024-12-08 21:02:21.003049
 39 | Silas' Toy #1               | It's a toy                                               |       37 | 2024-12-08 21:03:13.871743 | 2024-12-08 21:03:45.460639
 41 | Silas' Toy #3               | A toy                                                    |       46 | 2024-12-08 21:03:34.853543 | 2024-12-08 21:03:55.691491
 40 | Silas' Toy #2               | A toy                                                    |       47 | 2024-12-08 21:03:24.008984 | 2024-12-08 21:03:59.955821
 46 | Christmas Lights Tote       | Contains all of the stuff for making WLED's, etc.        |       48 | 2024-12-13 01:33:08.540738 | 2024-12-13 01:33:22.347658
 37 | Bluetooth Speaker           | Small one                                                |       48 | 2024-12-08 21:00:39.289476 | 2024-12-13 01:33:32.717037
 47 | TP Link Mesh Router         | BROKEN                                                   |       65 | 2024-12-13 02:05:02.892486 | 2024-12-13 02:36:07.110776
 27 | Test 1.1                    | Test 1.1                                                 |        1 | 2024-12-06 22:43:50.888327 | 2024-12-18 00:30:39.422818
 51 | Beach Chairs                | And bunch of beach chairs                                |       63 | 2024-12-18 07:49:51.635427 | 2024-12-18 07:49:51.635427
 52 | DJ Chair                    | The solid white pivoting DJ chair that I use at all gigs |       63 | 2024-12-18 07:57:27.381859 | 2024-12-18 07:57:27.381859
 53 | Working Hands               | hand cream from harbor freight                           |       65 | 2024-12-18 10:00:08.466332 | 2024-12-18 10:00:08.466332
 54 | 24" Monitor                 | it's a monitor                                           |       61 | 2024-12-18 10:08:23.715653 | 2024-12-18 10:08:23.715653
 56 | Aluminum LED tracks         | The oversized tracks from the auction                    |       67 | 2024-12-18 14:59:35.08331  | 2024-12-18 14:59:35.08331
 57 | Rack & Pinion Set           | For gokarts                                              |       57 | 2024-12-18 16:03:45.775117 | 2024-12-18 16:03:45.775117
 48 | Bluetooth Speaker           | Rockville Big Speaker                                    |        1 | 2024-12-17 07:27:22.864304 | 2024-12-19 00:05:47.0818
 45 | Tote 1                      | A black tote                                             |        1 | 2024-12-12 23:54:34.770563 | 2024-12-19 00:05:47.0818
 44 | Pit Bike Wheels             |                                                          |        1 | 2024-12-11 23:43:35.578041 | 2024-12-19 00:05:47.0818
 49 | Box of cups                 | It's random                                              |        1 | 2024-12-18 00:52:18.787538 | 2024-12-19 00:05:47.0818
 50 | Bungee Cords                | Random Bungee Cords                                      |        1 | 2024-12-18 07:41:43.978817 | 2024-12-19 00:05:47.0818
  1 | Mallet                      | A basic tool                                             |        1 | 2024-12-05 13:36:18.601317 | 2024-12-19 00:05:47.0818
 19 | Pounding Instrument         | A tool                                                   |        1 | 2024-12-05 13:39:22.750067 | 2024-12-19 00:05:47.0818
 55 | Screwdriver Set - multiples | From harbor freight                                      |        1 | 2024-12-18 14:57:51.757055 | 2024-12-19 00:05:47.0818
(43 rows)

