 id |        name        | parent_id |         created_at         |         updated_at         | depth 
----+--------------------+-----------+----------------------------+----------------------------+-------
 49 | Kitchen            |        58 | 2024-12-08 00:56:54.496115 | 2024-12-11 17:38:25.62766  |     1
 42 | Goggles holder     |        58 | 2024-12-06 22:25:52.537987 | 2024-12-11 23:13:12.166605 |     1
 41 | Blanket Basket     |        42 | 2024-12-06 08:07:27.614117 | 2024-12-11 23:13:12.166605 |     2
 20 | Unassigned         |           | 2024-12-05 13:50:18.98548  | 2024-12-18 21:48:58.105346 |     0
 61 | Office             |        58 | 2024-12-11 23:12:15.004639 | 2024-12-11 23:12:18.281808 |     1
 43 | Goggles Case       |        42 | 2024-12-06 22:26:19.007419 | 2024-12-12 15:32:00.471334 |     2
 37 | Silas' Toy Box     |        46 | 2024-12-06 07:09:35.969208 | 2024-12-08 21:01:15.182436 |     1
  3 | Closet             |        37 | 2024-12-05 13:36:06.717691 | 2024-12-08 21:01:15.182436 |     2
 38 | Rob's Toy Box      |        43 | 2024-12-06 07:09:58.386935 | 2024-12-12 15:32:00.471334 |     3
 53 | 10x20 Storage Unit |        51 | 2024-12-08 21:16:42.284162 | 2024-12-12 23:54:05.649106 |     1
 57 | Shelf #2           |        52 | 2024-12-08 23:28:23.59683  | 2024-12-12 23:54:05.649106 |     2
 56 | Shelf #1           |        53 | 2024-12-08 23:28:00.415977 | 2024-12-12 23:54:05.649106 |     2
 63 | Garage             |        58 | 2024-12-13 01:57:07.12618  | 2024-12-13 01:57:07.12618  |     1
 64 | Tool Cabinet       |        63 | 2024-12-13 01:57:28.603978 | 2024-12-13 01:57:28.603978 |     2
 65 | Side Table         |        63 | 2024-12-13 02:10:16.917576 | 2024-12-13 02:10:16.917576 |     2
 44 | Goggles Case       |        37 | 2024-12-06 22:26:30.210825 | 2024-12-08 21:02:31.296988 |     2
 47 | Space Test 1       |        37 | 2024-12-07 07:57:30.121708 | 2024-12-08 21:04:04.375712 |     2
 45 | Basement           |        47 | 2024-12-06 22:43:43.26685  | 2024-12-08 21:04:04.375712 |     3
  1 | Home               |        47 | 2024-12-05 13:36:06.717691 | 2024-12-08 21:04:04.375712 |     3
  2 | Garage             |         1 | 2024-12-05 13:36:06.717691 | 2024-12-08 21:04:04.375712 |     4
 50 | Garage Shelf #1    |         2 | 2024-12-08 20:57:57.887469 | 2024-12-08 21:04:04.375712 |     5
 30 | Addie's Toy Box    |         2 | 2024-12-05 14:14:14.732193 | 2024-12-08 21:04:04.375712 |     5
 40 | Blanket Basket     |         2 | 2024-12-06 08:07:07.794195 | 2024-12-08 21:04:04.375712 |     5
 46 | Attic              |        37 | 2024-12-06 23:44:50.515449 | 2024-12-08 21:04:07.535489 |     2
 54 | Downstairs Bedroom |        58 | 2024-12-08 22:49:46.643213 | 2024-12-11 16:04:59.519169 |     1
 55 | Backyard Shed      |        58 | 2024-12-08 23:27:28.057384 | 2024-12-11 16:25:18.839696 |     1
 59 | Living Room 1      |        58 | 2024-12-11 16:29:44.137809 | 2024-12-11 16:29:44.137809 |     1
 58 | Home               |           | 2024-12-09 02:00:15.234066 | 2024-12-18 00:26:29.14357  |     0
 60 | Living Room 2      |        58 | 2024-12-11 16:29:51.945762 | 2024-12-11 17:17:13.574716 |     1
 48 | Kitchen Table      |        49 | 2024-12-08 00:56:44.850292 | 2024-12-11 17:38:25.62766  |     2
 52 | 10x10 Storage Unit |        51 | 2024-12-08 21:16:27.376452 | 2024-12-18 00:26:32.662822 |     1
 66 | Big Office Desk    |        61 | 2024-12-18 10:07:51.587806 | 2024-12-18 10:07:51.587806 |     2
 67 | Folding Table      |        63 | 2024-12-18 14:58:32.737076 | 2024-12-18 14:58:32.737076 |     2
 51 | Precision Storage  |           | 2024-12-08 21:16:14.380259 | 2024-12-18 21:49:03.558677 |     0
 62 | Tote #3            |        56 | 2024-12-12 23:54:54.614872 | 2024-12-18 23:57:33.28207  |     3
(35 rows)

